Keyword,N,FA,FR,Precision,Recall,F1-score
COMPANIES,9,0,1,0.889,1.0,0.941
NINETEEN,12,0,0,1.0,1.0,1.0
UNDER,7,2,0,1.0,0.778,0.875
EIGHTY,13,0,0,1.0,1.0,1.0
ALTHOUGH,5,0,3,0.4,1.0,0.571
THEIR,15,0,2,0.867,1.0,0.929
WEAPONS,6,0,2,0.667,1.0,0.8
OTHER,14,0,0,1.0,1.0,1.0
WOULD,14,2,4,0.714,0.833,0.769
PEOPLE,8,0,1,0.875,1.0,0.933
THOSE,7,0,3,0.571,1.0,0.727
NUCLEAR,8,0,5,0.375,1.0,0.545
RIGHT,7,0,2,0.714,1.0,0.833
EIGHT,20,1,2,0.9,0.947,0.923
ABOUT,11,0,2,0.818,1.0,0.9
STREET,5,0,0,1.0,1.0,1.0
INFLATION,5,0,3,0.4,1.0,0.571
GROUP,13,0,1,0.923,1.0,0.96
RATES,5,0,2,0.6,1.0,0.75
HOWEVER,8,0,3,0.625,1.0,0.769
BRITISH,5,0,3,0.4,1.0,0.571
MILLION,15,0,1,0.933,1.0,0.965
SENIOR,7,0,1,0.857,1.0,0.923
WON'T,5,0,4,0.2,1.0,0.333
POINT,18,0,2,0.889,1.0,0.941
AGREED,8,0,1,0.875,1.0,0.933
TRADE,8,0,0,1.0,1.0,1.0
STRUCTURE,13,0,4,0.692,1.0,0.818
EARNINGS,5,0,1,0.8,1.0,0.889
STILL,8,0,3,0.625,1.0,0.769
THREE,18,0,4,0.778,1.0,0.875
INDUSTRY,5,0,2,0.6,1.0,0.75
FIRST,8,0,1,0.875,1.0,0.933
BILLION,8,0,1,0.875,1.0,0.933
SINCE,7,0,4,0.429,1.0,0.6
LOCAL,7,0,1,0.857,1.0,0.923
STOCK,6,0,1,0.833,1.0,0.909
PARTY,6,0,1,0.833,1.0,0.909
FIFTY,13,0,1,0.923,1.0,0.96
ANOTHER,7,0,1,0.857,1.0,0.923
CONCESSIONS,5,0,1,0.8,1.0,0.889
SEVEN,8,0,0,1.0,1.0,1.0
COMPANY,26,0,0,1.0,1.0,1.0
HIGHER,8,0,1,0.875,1.0,0.933
COULD,9,1,1,0.889,0.889,0.889
SALES,9,0,3,0.667,1.0,0.8
AFTER,8,0,1,0.875,1.0,0.933
THERE,14,1,1,0.929,0.929,0.929
SHOULD,8,0,0,1.0,1.0,1.0
DESIGN,5,0,2,0.6,1.0,0.75
STOCKS,7,0,2,0.714,1.0,0.833
PERCENT,18,0,4,0.778,1.0,0.875
PLANS,11,0,3,0.727,1.0,0.842
Precsion,Recall,F1-score
0.7379284901606331,0.9352846401718582,0.8249674472197132
